HS,TS,TA,HA,TT,C
7351.833,1200,1089,6345,10.00926,41.19500
7348.500,1200,1116,6232,10.03035,41.19000
7343.500,1200,1076,6405,10.07203,41.19750
7340.667,1200,1089,6379,10.09311,41.18750
7338.000,1200,1103,6400,10.11419,41.19000
7333.833,1200,1059,6486,10.15588,41.18000
7329.667,1200,1092,6300,10.19756,41.18250
7325.833,1200,996,6499,10.23925,41.19500
7321.333,1200,738,7013,10.28094,41.18500
7318.500,1200,641,7136,10.32262,41.20750
7314.167,1200,777,7159,10.36432,41.18750
7309.500,1200,1077,6624,10.40600,41.19250
7308.000,1200,1268,5880,10.42709,41.19250
7305.500,1200,1418,5434,10.44817,41.20250
7302.833,1200,1582,4850,10.46926,41.22500
7301.667,1200,1618,4734,10.48348,41.21000
7300.833,1200,1709,4577,10.49770,41.21500
7299.167,1160,1813,4182,10.51876,41.24250
7299.167,1160,1872,4165,10.52601,41.22250
7298.333,1160,1952,3941,10.53325,41.23750
7296.333,1160,1963,4037,10.54050,41.25750
7296.833,1160,1951,3858,10.54772,41.25750
7296.500,1160,2009,3797,10.55498,41.24500
7295.333,1160,2004,3817,10.56574,41.26500
7294.833,1160,1947,3855,10.57653,41.24500
7293.500,1160,1901,3807,10.59075,41.23500
7292.667,1160,2042,3626,10.60495,41.24250
7291.500,1200,2057,3687,10.61918,41.24750
7290.833,1200,1982,3536,10.62642,41.25000
7291.167,1200,1844,3868,10.63365,41.26750
7290.500,1200,1637,4103,10.64787,41.25500
7290.000,1200,1509,4499,10.66207,41.23750
7288.333,1200,1415,4820,10.67628,41.23250
7287.000,1200,1302,5492,10.69051,41.23000
7287.000,1200,1200,6178,10.71160,41.22000
7286.000,1200,1040,6744,10.73267,41.23500
7285.333,1200,842,7220,10.75376,41.21500
7284.667,1200,733,7548,10.77484,41.20250
7283.833,1200,672,7732,10.79594,41.18000
7283.167,1200,643,7930,10.81704,41.19750
7281.833,1200,612,8065,10.83812,41.18000
7281.000,1200,588,8233,10.85922,41.16500
7280.167,1200,581,8376,10.88031,41.16250
7279.333,1200,560,8499,10.90142,41.16500
7277.167,1200,523,8704,10.94313,41.15750
7275.000,1200,541,8817,10.96424,41.16250
7274.333,1200,552,8912,10.98534,41.16250
7272.500,1200,492,8996,11.02705,41.17250
7271.333,1200,421,8996,11.04814,41.16500
7270.000,1200,369,9026,11.08985,41.15250
7266.833,1200,412,9104,11.13157,41.15500
7265.333,1200,353,9079,11.17329,41.16750
7262.667,1200,272,9045,11.21501,41.16250
7260.167,1160,258,8970,11.25672,41.16000
7258.167,1160,194,8993,11.29845,41.14750
7255.333,1160,187,8923,11.34017,41.15500
7252.667,1160,542,8635,11.38190,41.17250
7250.500,1160,973,6701,11.42362,41.18250
7249.667,1140,1265,5386,11.44469,41.17500
7248.000,1140,1466,4632,11.46578,41.19500
7247.167,1140,1580,4117,11.48686,41.19500
7246.500,1140,1678,3838,11.50109,41.20750
7245.167,1140,1762,3615,11.51531,41.21250
7246.167,1140,1830,3500,11.52256,41.22000
7244.500,1140,1915,3356,11.52980,41.23750
7245.333,1140,1955,3225,11.53704,41.23250
7245.333,1140,1979,3195,11.54428,41.25500
